代码,    名称,.,所属行业
600000,浦发银行,3,银行
600004,白云机场,,机场航运
600005,武钢股份,3,钢铁
600006,东风汽车,3,汽车整车
600007,中国国贸,3,房地产开发
600008,首创股份,3,燃气水务
600009,上海机场,3,机场航运
600010,包钢股份,3,钢铁
600011,华能国际,3,电力
600012,皖通高速,,公路铁路运输
600015,华夏银行,3,银行
600016,民生银行,3,银行
600017,日照港,3,港口航运
600018,上港集团,3,港口航运
600019,宝钢股份,3,钢铁
600020,中原高速,,公路铁路运输
600021,上海电力,3,电力
600022,山东钢铁,3,钢铁
600023,浙能电力,3,电力
600026,中海发展,3,港口航运
600027,华电国际,3,电力
600028,中国石化,3,基础化学
600029,南方航空,3,机场航运
600030,中信证券,3,证券
600031,三一重工,3,专用设备
600033,福建高速,,公路铁路运输
600035,楚天高速,,公路铁路运输
600036,招商银行,3,银行
600037,歌华有线,3,通信服务
600038,中直股份,3,国防军工
600039,四川路桥,3,建筑装饰
600048,保利地产,3,房地产开发
600050,中国联通,3,通信服务
600051,宁波联合,,综合
600052,浙江广厦,,房地产开发
600053,中江地产,,综合
600054,黄山旅游,,景点及旅游
600055,华润万东,,医疗器械服务
600056,中国医药,3,医药商业
600057,象屿股份,,物流
600058,五矿发展,3,贸易
600059,古越龙山,3,饮料制造
600060,海信电器,3,视听器材
600061,中纺投资,,化工合成材料
600062,华润双鹤,3,化学制药
600063,皖维高新,3,化工合成材料
600064,南京高科,,园区开发
600066,宇通客车,3,汽车整车
600067,冠城大通,3,房地产开发
600068,葛洲坝,3,建筑装饰
600070,浙江富润,,纺织制造
600071,凤凰光学,,光学光电子
600073,上海梅林,3,食品加工制造
600074,中达股份,,其他电子
600075,新疆天业,,基础化学
600076,青鸟华光,,通信设备
600077,宋都股份,3,房地产开发
600078,澄星股份,3,化学制品
600079,人福医药,3,化学制药
600080,金花股份,,生物制品
600081,东风科技,,汽车零部件
600082,海泰发展,,贸易
600083,博信股份,,综合
600084,中葡股份,,饮料制造
600085,同仁堂,3,中药
600086,东方金钰,3,家用轻工
600088,中视传媒,3,传媒
600089,特变电工,3,电气设备
600090,啤酒花,,饮料制造
600093,禾嘉股份,,汽车零部件
600094,大名城,3,房地产开发
600095,哈高科,,房地产开发
600096,云天化,3,化学制品
600097,开创国际,,养殖业
600098,广州发展,3,电力
600099,林海股份,,非汽车交运
600100,同方股份,3,计算机设备
600101,明星电力,,电力
600103,青山纸业,,造纸
600104,上汽集团,3,汽车整车
600105,永鼎股份,,通信设备
600106,重庆路桥,,公路铁路运输
600107,美尔雅,3,服装家纺
600108,亚盛集团,3,种植业与林业
600109,国金证券,3,证券
600110,中科英华,3,电气设备
600111,北方稀土,3,有色冶炼加工
600112,天成控股,,电气设备
600113,浙江东日,3,房地产开发
600114,东睦股份,,新材料
600115,东方航空,3,机场航运
600116,三峡水利,3,电力
600117,西宁特钢,,钢铁
600118,中国卫星,3,国防军工
600119,长江投资,3,物流
600120,浙江东方,3,贸易
600121,郑州煤电,,煤炭开采
600122,宏图高科,,零售
600123,兰花科创,3,煤炭开采
600125,铁龙物流,3,公路铁路运输
600126,杭钢股份,,钢铁
600127,金健米业,,农产品加工
600128,弘业股份,,贸易
600129,太极集团,,中药
600130,波导股份,,通信设备
600131,岷江水电,,电力
600132,重庆啤酒,3,饮料制造
600133,东湖高新,,综合
600135,乐凯胶片,3,家用轻工
600136,道博股份,,综合
600137,浪莎股份,,服装家纺
600138,中青旅,3,景点及旅游
600139,西部资源,3,有色冶炼加工
600141,兴发集团,3,化学制品
600143,金发科技,3,化工合成材料
600146,大元股份,3,有色冶炼加工
600148,长春一东,,汽车零部件
600149,廊坊发展,3,房地产开发
600150,中国船舶,3,国防军工
600151,航天机电,3,电气设备
600152,维科精华,,纺织制造
600153,建发股份,3,物流
600155,宝硕股份,3,化工合成材料
600156,华升股份,,纺织制造
600157,永泰能源,3,煤炭开采
600158,中体产业,3,房地产开发
600159,大龙地产,,房地产开发
600160,巨化股份,3,化学制品
600161,天坛生物,3,生物制品
600162,香江控股,,房地产开发
600165,新日恒力,,通用设备
600166,福田汽车,3,汽车整车
600167,联美控股,,电力
600168,武汉控股,,燃气水务
600169,太原重工,3,专用设备
600170,上海建工,3,建筑装饰
600171,上海贝岭,3,半导体及元件
600172,黄河旋风,,通用设备
600173,卧龙地产,,房地产开发
600175,美都能源,3,房地产开发
600176,中国巨石,3,化工新材料
600177,雅戈尔,3,服装家纺
600179,黑化股份,3,煤炭开采
600180,瑞茂通,,物流
600182,S佳通,,化工合成材料
600183,生益科技,3,半导体及元件
600184,光电股份,,国防军工
600185,格力地产,3,房地产开发
600186,莲花味精,3,食品加工制造
600187,国中水务,3,燃气水务
600188,兖州煤业,3,煤炭开采
600189,吉林森工,,种植业与林业
600190,锦州港,,港口航运
600191,华资实业,,农产品加工
600192,长城电工,,电气设备
600193,创兴资源,3,石油矿业开采
600195,中牧股份,,农业服务
600196,复星医药,3,生物制品
600197,伊力特,3,饮料制造
600198,大唐电信,3,通信设备
600199,金种子酒,3,饮料制造
600200,江苏吴中,3,综合
600201,金宇集团,3,农业服务
600202,哈空调,,电气设备
600203,福日电子,,光学光电子
600206,有研新材,3,半导体及元件
600207,安彩高科,,综合
600208,新湖中宝,3,房地产开发
600209,罗顿发展,3,建筑装饰
600210,紫江企业,3,包装印刷
600211,西藏药业,,中药
600212,江泉实业,,综合
600213,亚星客车,,汽车整车
600215,长春经开,,园区开发
600216,浙江医药,3,化学制药
600218,全柴动力,3,通用设备
600219,南山铝业,3,有色冶炼加工
600220,江苏阳光,3,纺织制造
600221,海南航空,3,机场航运
600222,太龙药业,3,中药
600223,鲁商置业,3,房地产开发
600225,天津松江,3,房地产开发
600226,升华拜克,,农业服务
600227,赤天化,,化学制品
600228,昌九生化,,化学制品
600229,青岛碱业,3,基础化学
600230,沧州大化,3,化工新材料
600231,凌钢股份,,钢铁
600232,金鹰股份,,纺织制造
600233,大杨创世,,服装家纺
600234,山水文化,,综合
600235,民丰特纸,,造纸
600236,桂冠电力,,电力
600237,铜峰电子,3,半导体及元件
600238,海南椰岛,,饮料制造
600239,云南城投,3,房地产开发
600240,华业地产,3,房地产开发
600241,时代万恒,,贸易
600242,中昌海运,,港口航运
600243,青海华鼎,,通用设备
600246,万通地产,,房地产开发
600248,延长化建,,建筑装饰
600249,两面针,,化学制品
600250,南纺股份,,贸易
600251,冠农股份,3,农产品加工
600252,中恒集团,3,中药
600255,鑫科材料,,有色冶炼加工
600256,广汇能源,3,基础化学
600257,大湖股份,3,养殖业
600258,首旅酒店,,景点及旅游
600259,广晟有色,3,有色冶炼加工
600260,凯乐科技,3,综合
600261,阳光照明,3,其他电子
600262,北方股份,,非汽车交运
600266,北京城建,3,房地产开发
600267,海正药业,3,化学制药
600268,国电南自,,电气设备
600269,赣粤高速,,公路铁路运输
600270,外运发展,3,物流
600271,航天信息,3,计算机应用
600272,开开实业,,服装家纺
600273,嘉化能源,,电力
600275,武昌鱼,,综合
600276,恒瑞医药,3,化学制药
600277,亿利能源,3,综合
600278,东方创业,,贸易
600279,重庆港九,,港口航运
600280,中央商场,,零售
600281,太化股份,,基础化学
600282,南钢股份,,钢铁
600283,钱江水利,,燃气水务
600284,浦东建设,,建筑装饰
600285,羚锐制药,3,中药
600287,江苏舜天,,贸易
600288,大恒科技,3,其他电子
600289,亿阳信通,3,通信设备
600290,华仪电气,,电气设备
600291,西水股份,,保险及其他
600292,中电远达,3,环保工程
