2/27/15,代码,名称,最新,涨跌,涨幅,买一价,卖一价,外盘,内盘,总额,总手,交易单位,流通市值,总市值,市盈率,最低,均价
1,000001,平安银行,13.99,-0.08,-0.57%,13.98,13.99,401821,391749,111515,793570,100,13761561,15983428,7.66③,13.96,14.05
2,000002,万  科Ａ,12.75,-0.1,-0.78%,12.75,12.76,608543,637776,159468,1246319,100,12334289,14046759,16.32③,12.69,12.8
3,000006,深振业Ａ,6.57,-0.03,-0.45%,6.57,6.58,118625,134807,16828,253432,100,879656,886947,27.76③,6.55,6.64
4,000009,中国宝安,15.16,0.22,1.47%,15.15,15.16,313699,286901,90901,600600,100,2258338,2281938,65.68③,14.88,15.14
5,000012,南  玻Ａ,9.14,-0.09,-0.98%,9.14,9.15,106791,172218,25585,279009,100,1190731,1896857,19.04③,9.13,9.17
6,000021,深科技  ,9.03,0.12,1.35%,9.03,9.04,196431,186873,34598,383304,100,1327242,1328547,72.67③,8.85,9.03
7,000024,招商地产,25.63,0.14,0.55%,25.62,25.63,205870,209947,107476,415817,100,2630387,6602162,22.09③,25.22,25.85
8,000027,深圳能源,10.75,0,0.00%,10.74,10.75,68716,79170,15909,147886,100,1030226,2841219,13.83③,10.68,10.76
9,000028,国药一致,50.4,-0.39,-0.77%,50.39,50.4,8989,10042,9614,19031,100,1175640,1827665,25.25③,50.3,50.52
10,000031,中粮地产,8.99,-0.12,-1.32%,8.99,9,200556,277493,42984,478049,100,1630534,1630545,74.92③,8.88,8.99
11,000039,中集集团,20.04,-0.1,-0.50%,20.03,20.04,61163,74644,27199,135807,100,2488371,5355948,24.70③,19.9,20.03
12,000043,中航地产,8.65,-0.1,-1.14%,8.65,8.66,36031,56415,8049,92446,100,576922,576922,-62.99③,8.62,8.71
13,000046,泛海控股,14.06,-0.14,-0.99%,14.06,14.07,228812,236131,66683,464943,100,6390176,6407581,133.99③,13.91,14.34
14,000049,德赛电池,37.99,0.21,0.56%,37.98,37.99,24590,23069,18057,47659,100,779721,779721,40.57③,37.5,37.89
15,000050,深天马Ａ,22.7,0.34,1.52%,22.69,22.7,70293,78401,33589,148694,100,1303481,2569046,42.48③,22.17,22.59
16,000059,华锦股份,9.17,-0.03,-0.33%,9.16,9.17,89218,123409,19586,212627,100,1100859,1100864,-8.39③,9.12,9.21
